LineupID,Ball_Movement_Index,Usage_Balance_Score,Dominance_Penalty,Pair_Synergy_Score,Defensive_Rating,Games,Wins,Losses,Win_Pct,Ball_Movement_Index Normalized,Usage_Balance_Score Normalized,Pair_Synergy_Score Normalized,Defensive_Rating Normalized,Dominance_Penalty Normalized,Lineup_Chemistry_Score
L1,1.0633284241531664,0.23115942925723335,2.3999999999999986,3.4200000000000004,1.3800000000000001,17,12,5,0.706,0.7068187255946082,0.13831208324504493,0.8205128205128209,1.0,0.41176470588235325,0.6154816670469655
L2,1.1664315937940763,0.34236806683777327,0.3999999999999986,3.56,1.3399999999999999,7,5,2,0.714,1.0,1.0,1.0,0.8461538461538451,1.0,0.9692307692307691
L3,0.8755555555555555,0.2265473402908505,3.8000000000000007,3.16,1.28,3,1,2,0.333,0.17287307575728222,0.10257581833079532,0.48717948717948717,0.6153846153846151,0.0,0.27560259933043596
L4,0.987106017191977,0.2168057868775896,2.3999999999999986,3.3200000000000003,1.3800000000000001,3,2,1,0.667,0.49007483218222825,0.027094461403365733,0.6923076923076925,1.0,0.41176470588235325,0.524248338355128
L5,1.1452205882352942,0.23660848206216253,2.0,3.34,1.28,2,1,1,0.5,0.9396849809486737,0.1805334705573989,0.7179487179487176,0.6153846153846151,0.5294117647058822,0.5965927099090576
L6,0.976340694006309,0.21330900099947953,3.8000000000000007,2.7800000000000002,1.12,1,0,1,0.0,0.4594628618426886,0.0,0.0,0.0,0.0,0.09189257236853772
L7,0.8147612156295225,0.27700978025491596,2.3999999999999986,3.0000000000000004,1.1600000000000001,1,1,0,1.0,0.0,0.49357849324007325,0.2820512820512824,0.15384615384615397,0.41176470588235325,0.2682481270039726
L8,0.9300134589502018,0.2807633707417816,2.3999999999999986,3.08,1.2399999999999998,1,0,1,0.0,0.3277280387452775,0.5226627769553199,0.38461538461538447,0.46153846153846023,0.41176470588235325,0.421661873547359
